Author_Id,Author_Name,Author_Surename
"34277","Fitzer","Erich"
"34278","Li","J."
"34279","Rozploch","Franciszek"
"34280","Stumm","Thomas"
"34281","Kowalczyk","Halina"
"34282","Gojowy","Piotr"
"34283","Garbacz","Jerzy"
"34284","K.","Biniak"
"34285","Stanislaw","Kopkowski"
"34286","Alberich","Ricardo"
"34287","Burmeister","Peter"
"34288","Rossello","Francesc"
"34289","Valiente","Gabriel"
"34290","Wojdylo","Boleslaw"
"34291","Gojowy","Piotr"
"34292","Garbacz","Jerzy"
"34293","K.","Kowalczyk-Dembinska"
"34294","Halina","Dabrowski"
"34295","Gojowy","Piotr"
"34296","Ceynowa","Jozef"
"34297","Adamczak","Piotr"
"34298","Staniszewski","Marek"
"34299","Gojowy","Piotr"
"34300","Gojowy","Piotr"
"34301","Skowronski","Jan"
"34302","M.","Patyk"
"34303","Jaromir","Rozploch"
"34304","Kryszewski","Wojciech"
"34305","Kryszewski","Wojciech"
"34306","Gojowy","Piotr"
"34307","Farley","Arthur"
"34308","M.","Proskurowski"
"34309","Andrzej","Skowronska"
"34310","Miroslawa","Syslo"
"34311","Maciej","M."
"34312","Borowiecki","Mieczyslaw"
"34313","Haluszczak","Mariusz"
"34314","Skowronska","Miroslawa"
"34315","Berndt-Schreiber","Maria"
"34316","Bieganowski","Lech"
"34317","Gojowy","Piotr"
"34318","Gojowy","Piotr"
"34319","Gojowy","Piotr"
"34320","Ceynowa","Jozef"
"34321","Adamczak","Piotr"
"34322","Gojowy","Piotr"
"34323","Gojowy","Piotr"
"34324","Gojowy","Piotr"
"34325","Jankowska","Malgorzata"
"34326","Kotlowski","Jan"
"34327","Gojowy","Piotr"
"34328","Wodzki","Romuald"
"34329","Szczepanska","Grazyna"
"34330","Gojowy","Piotr"
"34331","Gojowy","Piotr"
"34332","Gauden","Piotr"
"34333","A.","Ćwiertnia"
"34334","Magdalena","S."
"34335","Wisniewski","Marek"
"34336","Szymanski","Grzegorz"
"34337","S.","Rychlicki"
"34338","Gerhard","Garbacz"
"34339","Jerzy","K."
"34340","Gojowy","Piotr"
"34341","Lemanowska","Eliza"
"34342","Buczkowski","Roman"
"34343","Iglinski","Bartlomiej"
"34344","Rozploch","Franciszek"
"34345","Skowronski","Jan"
"34346","M.","Nowak"
"34347","Lidia","Patyk"
"34348","Jaromir","Szatkowski"
"34349","Wypychowski","Jaroslaw"
"34350","Pytlinski","Jaroslaw"
"34351","Skorwider","Lukasz"
"34352","Nazaruk","Miroslaw"
"34353","Benedyczak","Krzysztof"
"34354","Wronski","Michal"
"34355","Bala","Piotr"
"34356","Barczyk","Tomasz"
"34357","Gojowy","Piotr"
"34358","Barczyk","Tomasz"
"34359","Kowalczyk","Piotr"
"34360","Tanaka","Hideki"
"34361","Kaneko","Katsumi"
"34362","Terzyk","Artur"
"34363","P.","Do"
"34364","Duong","D."
"34365","Schreiber","Tomasz"
"34366","Yukich","Joseph"
"34367","Barczyk","Tomasz"
"34368","Dudzik","Sebastian"
"34369","Gauden","Piotr"
"34370","A.","Terzyk"
"34371","Artur","P."
"34372","Kowalczyk","Piotr"
"34373","Gauden","Piotr"
"34374","Barczyk","Tomasz"
"34375","Gojowy","Piotr"
"34376","Chruscinska","Alicja"
"34377","Przegietka","Krzysztof"
"34378","R.","Szroeder"
"34379","Pawel","Oczkowski"
"34380","Hubert","L."
"34381","Rozploch","Franciszek"
"34382","Bocian","Rafal"
"34383","Skowronski","Andrzej"
"34384","Dappe","Yannick"
"34385","J.","Oszwaldowski"
"34386","Rafal","Pou"
"34387","Pablo","Ortega"
"34388","Jos&#0233","P&#0233"
"34389","rez","Rub&#0233"
"34390","n","Flores"
"34391","Szroeder","Pawel"
"34392","Chruscinska","Alicja"
"34393","Przegietka","Krzysztof"
"34394","R.","Kulesza"
"34395","Borkowski","Dariusz"
"34396","Piekniewski","Filip"
"34397","Schreiber","Tomasz"
"34398","Szczepanska","Grazyna"
"34399","Wodzki","Romuald"
"34400","Szczepanska","Grazyna"
"34401","Wodzki","Romuald"
"34402","Piekniewski","Filip"
"34403","Gojowy","Piotr"
"34404","Retkowska","Izabella"
"34405","Rozploch","Franciszek"
"34406","Patyk","Jaromir"
"34407","Stankowski","Jan"
"34408","Dudzik","Sebastian"
"34409","Bielinska-Waz","Dorota"
"34410","Nowak","Wieslaw"
"34411","Waz","Piotr"
"34412","Nandy","Ashesh"
"34413","Clark","Timothy"
"34414","Bocian","Rafal"
"34415","Skowronski","Andrzej"
"34416","Holm","Thorsten"
"34417","Terzyk","Artur"
"34418","P.","Furmaniak"
"34419","Sylwester","Gauden"
"34420","Piotr","A."
"34421","Harris","Peter"
"34422","J.","F."
"34423","Wloch","Jerzy"
"34424","Kowalczyk","Piotr"
"34425","Kaczmarek","Halina"
"34426","Podgorski","Andrzej"
"34427","Skiba","Robert"
"34428","Barczyk","Tomasz"
"34429","Gojowy","Piotr"
"34430","Barczyk","Tomasz"
"34431","Buszewski","Boguslaw"
"34432","Michel","Monika"
"34433","Szczepanska","Grazyna"
"34434","Szczepanski","Piotr"
"34435","Wodzki","Romuald"
"34436","Basiul","Marek"
"34437","Barczyk","Tomasz"
"34438","Basiul","Marek"
"34439","Baturo","Pawel"
"34440","Piatkowski","Marcin"
"34441","Rytter","Wojciech"
"34442","Szczepanska","Grazyna"
"34443","Szczepanski","Piotr"
"34444","Wodzki","Romuald"
"34445","Szczepanska","Grazyna"
"34446","Szczepanski","Piotr"
"34447","Wodzki","Romuald"
"34448","Wodzki","Romuald"
"34449","Szczepanski","Piotr"
"34450","Pawlowski","Radoslaw"
"34451","Baryshnikov","Yuliy"
"34452","M.","Eichelsbacher"
"34453","Peter","Schreiber"
"34454","Tomasz","Yukich"
"34455","Joseph","Elliott"
"34456","Szroeder","Pawel"
"34457","Chruscinska","Alicja"
"34458","Przegietka","Krzysztof"
"34459","Kulesza","Slawomir"
"34460","Schreiber","Tomasz"
"34461","Rozploch","Franciszek"
"34462","Patyk","Jaromir"
"34463","Stankowski","Jan"
"34464","Szroeder","Pawel"
"34465","Piekniewski","Filip"
"34466","Schreiber","Tomasz"
"34467","Krupska","Aldona"
"34468","Jurga","Witold"
"34469","Piekara-Sady","Lidia"
"34470","Szroeder","Pawel"
"34471","Rozploch","Franciszek"
"34472","Barczyk","Tomasz"
"34473","Retkowska","Izabella"
"34474","Dudzik","Sebastian"
"34475","Barczyk","Tomasz"
"34476","Basiul","Marek"
"34477","Barczyk","Tomasz"
"34478","Gojowy","Piotr"
"34479","Gojowy","Piotr"
"34480","Wisniewski","Piotr"
"34481","Gojowy","Piotr"
"34482","Barczyk","Tomasz"
"34483","Terzyk","Artur"
"34484","P.","Furmaniak"
"34485","Sylwester","Gauden"
"34486","Piotr","A."
"34487","Kowalczyk","Piotr"
"34488","Michel","Monika"
"34489","Buszewski","Boguslaw"
"34490","Grzywacz","Andrzej"
"34491","Baturo","Pawel"
"34492","Piatkowski","Marcin"
"34493","Rytter","Wojciech"
"34494","Denkowski","Marcin"
"34495","Chlebiej","Michal"
"34496","Mikolajczak","Pawel"
"34497","Chlebiej","Michal"
"34498","Denkowski","Marcin"
"34499","Nowinski","Krzysztof"
"34500","Piekniewski","Filip"
"34501","Santos","Hernan"
"34502","Ayuela","Andr&#0233"
"34503","s","Jaskolski"
"34504","Wlodzimierz","Pelc"
"34505","Marta","Chico"
"34506","Sylwestrzak","Marcin"
"34507","Kwiatkowska","Ewa"
"34508","A.","Karaszkiewicz"
"34509","Pawel","Iwanicka"
"34510","Magdalena","Targowski"
"34511","Pregowski","Nikodem"
"34512","Wodzki","Romuald"
"34513","Szczepanski","Piotr"
"34514","Szczepanska","Grazyna"
"34515","Szczepanski","Piotr"
"34516","Wodzki","Romuald"
"34517","Szczepanska","Grazyna"
"34518","Szczepanski","Piotr"
"34519","Wodzki","Romuald"
"34520","Chico","Leonor"
"34521","Santos","Hernan"
"34522","Ayuela","Andr&#0233"
"34523","s","Jaskolski"
"34524","Wlodzimierz","Pelc"
"34525","Marta","Brey"
"34526","Eichelsbacher","Peter"
"34527","Schreiber","Tomasz"
"34528","Schreiber","Tomasz"
"34529","Borkowski","Dariusz"
"34530","Simson","Daniel"
"34531","Prejs","Ewa"
"34532","Gojowy","Piotr"
"34533","Krysztowiak","Przemyslaw"
"34534","Meina","Michal"
"34535","Pregowski","Nikodem"
"34536","Bialowicz","Krzysztof"
"34537","Michorzewski","Witold"
"34538","Pregowski","Nikodem"
"34539","Dudzik","Sebastian"
"34540","Gojowy","Piotr"
"34541","Barczyk","Tomasz"
"34542","Sliwinska","Milena"
"34543","Kulpinska","Katarzyna"
"34544","Gojowy","Piotr"
"34545","Barczyk","Tomasz"
"34546","Gojowy","Piotr"
"34547","Frydrychowicz","Joanna"
"34548","Polak","Agnieszka"
"34549","Simson","Daniel"
"34550","Gasiorek","Marcin"
"34551","Simson","Daniel"
"34552","Bielinska-Waz","Dorota"
"34553","Radoszewski","Jakub"
"34554","Rytter","Wojciech"
"34555","Wesolowski","Radoslaw"
"34556","P.","Terzyk"
"34557","Artur","P."
"34558","Jaskolski","Wlodzimierz"
"34559","Ayuela","Andr&#0233"
"34560","s","Pelc"
"34561","Marta","Santos"
"34562","Hernan","Chico"
"34563","Sylwestrzak","Marcin"
"34564","Szlag","Daniel"
"34565","Szkulmowski","Maciej"
"34566","Targowski","Piotr"
"34567","Jaskolski","Wlodzimierz"
"34568","Pelc","Marta"
"34569","Chico","Leonor"
"34570","Ayuela","Andr&#0233"
"34571","Ratajczak","Ewa"
"34572","Feit","Julia"
"34573","Gorzelanczyk","Edward"
"34574","Retkowska","Izabella"
"34575","Barczyk","Tomasz"
"34576","Dudzik","Sebastian"
"34577","Barczyk","Tomasz"
"34578","Dudzik","Sebastian"
"34579","Felisiak","Mariusz"
"34580","Simson","Daniel"
"34581","Dudzik","Sebastian"
"34582","Gojowy","Piotr"
"34583","Szczepanski","Piotr"
"34584","Szczepanska","Grazyna"
"34585","Wodzki","Romuald"
"34586","Sheng","Wei-dong"
"34587","Korkusinski","Marek"
"34588","G&#0252","&#0231"
"34589","l&#0252","Alev"
"34590","Devrim","Zielinski"
"34591","Michal","Potasz"
"34592","Pawel","Kadantsev"
"34593","Eugene","S."
"34594","Voznyy","Oleksandr"
"34595","Hawrylak","Pawel"
"34596","Kosakowska","Justyna"
"34597","Jankowski","Norbert"
"34598","Sylwestrzak","Marcin"
"34599","Szlag","Daniel"
"34600","Szkulmowski","Maciej"
"34601","Gorczynska","Iwona"
"34602","Bukowska","Danuta"
"34603","Wojtkowski","Maciej"
"34604","Targowski","Piotr"
"34605","Piersa","Jaroslaw"
"34606","Piersa","Jaroslaw"
"34607","Schreiber","Tomasz"
"34608","Maszczyk","Tomasz"
"34609","Duch","Wlodzislaw"
"34610","Rytter","Wojciech"
"34611","Szreder","Bartosz"
"34612","Borkowski","Dariusz"
"34613","Janczak-Borkowska","Katarzyna"
"34614","Borkowski","Dariusz"
"34615","Prejs","Ewa"
"34616","Mederski","Jaroslaw"
"34617","Dzedzej","Zdzislaw"
"34618","Kryszewski","Wojciech"
"34619","Gojowy","Piotr"
"34620","Szczepanski","Piotr"
"34621","Wodzki","Romuald"
"34622","Gasiorek","Marcin"
"34623","Simson","Daniel"
"34624","Kraskiewicz","Witold"
"34625","Weyman","Jerzy"
"34626","Dudzik","Sebastian"
"34627","Gojowy","Piotr"
"34628","Pelc","Marta"
"34629","Jaskolski","Wlodzimierz"
"34630","Ayuela","Andr&#0233"
"34631","s","Chico"
